Country_and_Time_Period,Migration Change,% Expenditure on healthcare,Infrastructure as % of GDP,Taxing Wages,Infant Mortality,Change in Unemployment,GDP Growth,Life Expectancy
Japan 2001,0.015640048,7.6134,1.7,22.54,3.2,0.271992726,0.355461713,81.41707317
Japan 2002,-0.021003055,7.7255,1.6,28.33,3.1,-0.240837625,1.339639988,81.72365854
Japan 2003,0.087568461,7.8634,1.5,25.1,3,-0.094942687,1.667699413,81.57036585
Japan 2004,-0.005174931,7.9193,1.3,24.27,3,-0.509243034,2.360730112,82.0302439
Japan 2005,0.00093015,8.093,1.3,24.71,2.8,-0.296082391,1.302728139,81.92512195
Japan 2006,-0.125448192,8.119,1.2,24.8,2.8,-0.281056878,1.692904249,82.32195122
Japan 2007,0.033858381,8.1783,1.2,25.04,2.6,-0.153102851,2.192186227,82.50707317
Japan 2008,0.023356879,8.5186,1.2,25.21,2.6,0.058527335,-1.041636025,82.58756098
Japan 2009,-0.137636462,9.4113,1.3,24.87,2.6,1.028168583,-5.526976489,82.93146341
Japan 2010,-0.033730292,9.4979,1.1,23.97,2.4,-0.06937511,4.652030143,82.84268293
Japan 2011,-0.070379802,9.9907,1.1,25.11,2.3,-0.447709955,-0.45272483,82.59121951
Japan 2012,0.138866926,10.0862,1.1,27.22,2.3,-0.12534738,1.753689775,83.09609756
Japan 2013,0.009180354,10.2474,1.1,27.47,2.2,-0.316664243,1.613366904,83.33195122
Korea 2001,-0.053001369,4.4852,1.7,15.68,0,-0.367367157,4.525319497,76.34195122
Korea 2002,-0.03024442,4.3396,1.6,15.4,0,-0.668132577,4.449619481,77.09426829
Korea 2003,0.06250118,4.6508,1.7,15.62,5.3,0.33762899,4.424386143,76.71810976
Korea 2004,0.057172465,4.6936,1.4,15.85,0,0.145382931,4.899851507,77.84658537
Korea 2005,0.421212121,5.0415,1.4,16.05,0,0.055028016,3.92368744,78.43268293
Korea 2006,0.194041674,5.4416,1.2,16.64,4.7,-0.266230209,5.176133982,78.96926829
Korea 2007,-0.008591808,5.6231,1.1,17.26,4.1,-0.2129992,5.463406088,79.3495122
Korea 2008,0.006039419,5.8004,1.1,17.63,3.6,0.058944739,2.829214457,79.83268293
Korea 2009,-0.229437344,6.3322,1.2,17.14,3.5,0.532813167,0.707518483,80.29731707
Korea 2010,0.258653863,6.4593,0.9,17.81,3.2,0.245803376,6.496785169,80.55121951
Korea 2011,0.048380933,6.5267,0.9,18.03,3.2,-0.27606551,3.681704667,80.96707317
Korea 2012,-0.023017162,6.6895,0.9,18.56,3,-0.286602801,2.292382426,81.21341463
Korea 2013,0.187100391,6.8739,1.1,18.85,2.9,-0.070768702,2.896,81.4597561
Luxembourg 2001,0.024369904,6.4939,1.1,16.58,5.1,-0.527270792,2.000093883,77.82439024
Luxembourg 2002,-0.006060606,6.8332,1.1,13.61,5.9,0.923715956,3.683523425,78.47317073
Luxembourg 2003,0.142519112,7.0819,1.1,14.18,5.1,1.125452996,4.244666606,78.14878049
Luxembourg 2004,-0.024613669,7.4491,0.9,14.55,4.9,1.937943741,4.926274688,79.12195122
Luxembourg 2005,0.123642303,7.2468,0.9,15.46,3.9,-0.927104117,4.124201705,79.43170732
Luxembourg 2006,-0.002035032,6.8112,0.8,16.03,2.6,0.691673244,4.881194704,79.28780488
Luxembourg 2007,0.148204792,6.4468,0.8,17.24,2.5,-0.666813312,6.463173267,79.38292683
Luxembourg 2008,0.065647596,6.6435,0.8,15.76,1.8,1.435282468,0.487325037,80.53902439
Luxembourg 2009,-0.128920898,7.5191,0.9,15.37,1.8,-0.463220363,-5.33368059,80.63658537
Luxembourg 2010,0.080560301,7.1748,0.9,15.93,2.5,-1.140453941,5.144673181,80.63170732
Luxembourg 2011,0.208296446,6.7821,0.9,17.99,3.4,0.842982103,2.609030403,80.98780488
Luxembourg 2012,0.017322587,6.6311,0.8,17.86,4.3,-0.035998754,-0.162966697,81.39268293
Luxembourg 2013,0.018083548,6.846461538,0.8,18.99,2.5,0.550262827,1.990206037,81.79756098
Mexico 2001,0.255534768,5.2527,0.2,10.31,20.8,0.027284963,-0.60549239,74.51097561
Mexico 2002,-0.276294549,5.4064,0.2,13.04,20,0.226347302,2.24093184,74.87376829
Mexico 2003,0.191660947,5.9454,0.3,14.16,19.1,0.090813873,3.189739917,74.69237195
Mexico 2004,0.225773938,6.0485,0.4,12.85,18.3,0.623402086,4.295714251,75.23656098
Mexico 2005,0.077411018,5.9216,0.4,12.17,17.6,-0.03226603,3.032573659,75.48553659
Mexico 2006,-0.250545137,5.7145,0.4,12.71,16.9,-0.323547785,5.001385468,75.73665854
Mexico 2007,0.04538842,5.8194,0.4,13.66,16.3,0.14489612,3.148225822,75.98439024
Mexico 2008,1.214444754,5.9325,0.4,13.12,15.7,0.136158768,1.400290149,76.22665854
Mexico 2009,0.49890027,6.373,0.5,13.47,15.1,1.404769192,-4.700339936,76.46146341
Mexico 2010,0.097601878,6.2124,0.6,13.8,14.6,-0.025414007,5.110198731,76.69029268
Mexico 2011,-0.159969442,5.9256,0.5,16.28,14.1,0.052516867,4.044614776,76.91417073
Mexico 2012,-0.174563478,6.1057,0.5,16.64,13.7,-0.300731006,4.007370613,77.13507317
Mexico 2013,0.70098338,6.2073,0.5,16.96,13.3,0.224726549,1.390831387,77.35402439
Netherlands 2001,0.034185789,7.4496,0.6,31.28,5.1,-0.51006025,1.624014155,78.1902439
Netherlands 2002,-0.083464717,7.9695,0.8,31.26,5.4,0.532078396,1.911269076,78.64268293
Netherlands 2003,-0.15069442,8.4712,0.8,31.47,5,0.870113419,2.007020717,78.41646341
Netherlands 2004,-0.114794878,8.5804,0.7,32.23,4.8,1.056717717,1.857332442,79.09512195
Netherlands 2005,-0.026197386,9.4972,0.6,32.24,4.4,0.224064035,2.252460632,79.34634146
Netherlands 2006,0.066892691,9.3971,0.5,29.61,4.9,-0.776816315,3.821283774,79.69756098
Netherlands 2007,0.186248282,9.383,0.5,29.56,4.4,-0.865864616,4.200058434,80.09756098
Netherlands 2008,0.287796855,9.5829,0.5,30.17,4.1,-0.45607417,2.077940596,80.25121951
Netherlands 2009,0.010197763,10.2501,0.6,29.17,3.8,0.503183464,-3.298074702,80.54878049
Netherlands 2010,0.055789675,10.4324,0.6,29.52,3.8,0.8014594,1.070503848,80.70243902
Netherlands 2011,0.074586111,10.4821,0.6,29.46,3.8,0.127979443,1.663619434,81.20487805
Netherlands 2012,-0.02345999,11.0334,0.6,29.87,3.6,0.816360912,-1.585708514,81.10487805
Netherlands 2013,0.054307928,11.115,0.6,28.8,3.7,1.213098156,-0.725512456,81.10487805
New Zealand 2001,0.443041354,7.5789,0.3,18.54,6.3,-0.740688467,3.429305161,78.69268293
New Zealand 2002,0.304910087,7.8905,0.3,18.62,5.6,-0.104056196,3.552227563,79.12073171
New Zealand 2003,-0.078899239,7.712,0.3,18.68,6.2,-0.462288366,3.593201697,78.90670732
New Zealand 2004,-0.147118581,7.8882,0.3,18.92,5.4,-0.65117489,3.816601827,79.54878049
New Zealand 2005,-0.011044938,8.2488,0.4,19.19,5.9,-0.118594896,3.4107757,79.85121951
New Zealand 2006,0.071425964,8.6463,0.4,9.51,5,0.39266778,2.763649358,80.04878049
New Zealand 2007,0.015158741,8.3542,0.5,9.74,5.1,-0.573178494,2.959127773,80.15121951
New Zealand 2008,0.072279454,9.2356,0.6,9.22,4.8,0.639123727,-1.615141044,80.35121951
New Zealand 2009,-0.056078861,9.7404,0.7,8.01,5,1.673209396,-0.25135967,80.70243902
New Zealand 2010,-0.044889434,9.7453,0.7,7.4,5.2,0.627350082,1.441475845,80.70243902
New Zealand 2011,0.058644868,9.698,0.7,7.01,5.5,0.00359053,2.21839831,80.90487805
New Zealand 2012,0.017181173,9.8137,0.5,8.59,5.2,0.281438143,2.177812333,81.15609756
New Zealand 2013,0.080937357,9.5361,0.5,10.05,3.8,-0.506605283,2.474918471,81.40731707
Norway 2001,-0.085405794,8.0206,0.6,31.96,3.9,0.142191006,2.085328036,78.78536585
Norway 2002,0.211553597,9.0055,0.7,31.87,3.5,0.119650927,2.889695535,79.31341463
Norway 2003,-0.129953229,9.219,0.6,31.58,3.3,0.412277329,3.157818034,79.04939024
Norway 2004,0.04020607,8.8263,0.6,31.87,3.2,-0.055029161,3.959038034,79.84146341
Norway 2005,0.125287109,8.3328,0.7,31.3,3.1,0.411554674,2.624720534,80.04146341
Norway 2006,0.193589539,7.9163,0.6,31.26,3.2,-1.22885094,2.395092466,80.34390244
Norway 2007,0.429472278,8.0519,0.7,31.37,3.1,-0.818258584,2.929766044,80.39512195
Norway 2008,0.099480354,7.966,0.8,31.6,2.7,0.094415972,0.38430604,80.59268293
Norway 2009,-0.036348181,9.0698,1,31.45,3.1,0.527661567,-1.622533268,80.79512195
Norway 2010,0.147895275,8.9103,1,31.55,2.8,0.361379861,0.601934441,80.99756098
Norway 2011,0.087512488,8.7909,0.9,31.96,2.4,-0.233299761,0.96877971,81.29512195
Norway 2012,-0.010556961,8.7745,1,31.77,2.5,-0.152627551,2.748768782,81.45121951
Norway 2013,-0.045985598,8.9311,0.9,31.7,2.4,0.250317325,0.742155987,81.45121951
Poland 2001,0.35031767,5.6786,0.6,34.36,8.1,1.83887881,1.2053016,74.2
Poland 2002,0.408879158,6.0792,0.5,36.73,7.7,-0.75072553,3.296005064,74.52317073
Poland 2003,0.002711371,5.9623,0.6,37,7.5,-0.29203956,3.992906218,74.36158537
Poland 2004,0.215201979,5.9051,0.7,37.23,7,-0.63362378,5.135655776,74.84634146
Poland 2005,0.045073404,5.84,0.9,37.52,6.8,-1.08314131,3.547057816,74.99512195
Poland 2006,-0.111705442,5.8258,1.1,37.83,6.4,-3.26545722,6.2,75.14390244
Poland 2007,0.187869044,5.877,1.3,32.5,6,-3.373799008,7.156308851,75.24390244
Poland 2008,0.029455915,6.4171,1.5,29.04,6,-2.044014899,3.866432337,75.54390244
Poland 2009,-0.013314529,6.637,1.9,28.95,5.6,1.039366348,2.622673435,75.69512195
Poland 2010,-0.005232938,6.4545,2,29.26,5.6,1.479750576,3.709810387,76.24634146
Poland 2011,0.006697353,6.287,2.5,29.66,5,0.222876198,4.769475358,76.74634146
Poland 2012,0.140192568,6.253,1.2,31.1,4.7,0.624480485,1.820940819,76.79756098
Poland 2013,-0.011091089,6.3798,0.7,31.31,4.6,0.2605575,1.713859911,76.84878049
Portugal 2001,8.504958574,8.386,1.5,28.17,5.5,0.12823065,1.943364651,76.81463415
Portugal 2002,-0.5247139,8.5321,1.5,29.08,5,0.891126239,1.507251045,77.24268293
Portugal 2003,-0.558812905,8.8766,1.5,28.62,5,1.268400706,1.361879843,77.02865854
Portugal 2004,0.073754488,9.2734,1.6,29.35,4.1,0.464176077,1.811582488,77.67073171
Portugal 2005,-0.176091037,9.4201,1.6,28.64,3.8,0.792070052,0.766805995,78.07073171
Portugal 2006,-0.200590916,9.122,1.4,29.53,3.5,0.230313297,1.553015835,78.4195122
Portugal 2007,0.451618649,9.0529,1,28.82,3.3,0.26153299,2.491985613,78.32195122
Portugal 2008,1.233994908,9.3323,1,28.38,3.4,-0.276588041,0.199295713,78.52439024
Portugal 2009,-0.156276605,9.8647,0.8,27.71,3.3,1.720484462,-2.978110801,78.72682927
Portugal 2010,-0.174106925,9.7946,1.1,28.23,3.6,1.482040906,1.898675039,79.02682927
Portugal 2011,-0.105976708,9.4814,0.9,28.4,2.5,2.3573895,-1.826801401,80.47073171
Portugal 2012,-0.150587405,9.2679,0.2,28.93,3.1,2.92229251,-4.028265295,80.37317073
Portugal 2013,-0.159146965,9.0226,0.2,31.16,3.4,0.44453486,-1.604815875,80.37317073
Slovak Republic 2001,0.021852012,5.3407,1.1,35.85,8.6,-2.13213275,3.323344861,73.40243902
Slovak Republic 2002,0.01291552,5.5072,1.3,34.75,6.2,0.33445582,5.034403566,73.6804878
Slovak Republic 2003,-0.046404682,5.4492,0.7,35.26,7.6,-1.74911605,5.604756468,73.54146341
Slovak Republic 2004,0.735861464,6.4697,0.7,32.79,7.9,0.36918664,5.241472596,73.95853659
Slovak Republic 2005,-0.032074757,6.6001,1,28.17,6.8,-0.82286093,6.538393242,73.90487805
Slovak Republic 2006,0.475407697,6.8758,1.1,28.81,7.2,-3.7090493,8.259223544,74.20487805
Slovak Republic 2007,0.312936599,7.2127,1.3,29.02,6.6,-1.85232449,10.68113129,74.20731707
Slovak Republic 2008,0.109240302,7.486,1.1,30.06,6.1,-1.226684443,5.446741427,74.70487805
Slovak Republic 2009,-0.123375835,8.4777,1.3,26.68,5.9,2.397880913,-5.290243351,74.9097561
Slovak Republic 2010,-0.123216512,7.8445,0.9,27.2,5.7,3.12671135,4.827314045,75.11219512
Slovak Republic 2011,-0.350343629,7.4678,1,29.4,5.7,-0.98346743,2.704198974,75.95853659
Slovak Republic 2012,-0.642509728,7.6887,0.7,30.33,4.9,0.27827494,1.602037893,76.1097561
Slovak Republic 2013,-0.187878788,7.5868,0.9,33.02,5.8,0.29639455,1.424738518,76.26097561
Slovenia 2001,0,8.4144,1.4,33.9,4.9,-0.278103227,2.9495093,75.75853659
Slovenia 2002,0,7.9961,1.5,34,4.2,-0.119401618,3.768051575,76.48292683
Slovenia 2003,0,8.0817,1.9,34.1,3.8,0.387914164,4.040899,76.12073171
Slovenia 2004,0,7.9268,2,34.29,4,-0.590263936,4.351684751,77.20731707
Slovenia 2005,0,7.965,1.7,32.31,3.7,0.153359246,4.002960675,77.61219512
Slovenia 2006,0,7.8021,1.9,32.18,4.1,-0.545125912,5.656148851,78.08658537
Slovenia 2007,0,7.4945,2.1,32.1,3.4,-1.005122429,6.941453447,78.56097561
Slovenia 2008,0.436654851,7.8494,2.1,30.66,2.8,-0.236109322,3.300104169,78.76585366
Slovenia 2009,-0.447866216,8.5617,1.3,30.04,2.4,1.255111588,-7.79732067,78.97073171
Slovenia 2010,-0.531570672,8.5694,1,30.41,2.4,1.071296096,1.221819153,79.42195122
Slovenia 2011,0.587668934,8.5466,0.6,30.57,2.5,0.82977927,0.612801297,79.97073171
Slovenia 2012,-0.038778235,8.7263,0.5,30.56,2.9,0.921740779,-2.639506751,80.12439024
Slovenia 2013,-0.098766217,8.7018,0.7,30.53,1.6,0.932724058,-0.998492962,80.27804878
Spain 2001,0.190905492,6.7831,1.1,35.19,4.3,-3.436219865,4.001084229,79.36829268
Spain 2002,0.12444423,6.8029,1.4,35.42,4,0.641790085,3.630293642,79.6195122
Spain 2003,-0.030605866,7.693,1.4,35,4.1,0.20334026,3.506696779,79.49390244
Spain 2004,0.503627271,7.7895,1.3,35.2,3.9,-0.48023393,3.166754693,79.87073171
Spain 2005,0.057083444,7.8431,1.5,35.35,3.9,-1.377894999,3.723042003,80.17073171
Spain 2006,0.17615067,7.911,1.5,35.48,3.7,-0.639704825,4.174126284,80.82195122
Spain 2007,0.14641002,7.9659,1.5,35.07,3.5,-0.139056339,3.768945822,80.87317073
Spain 2008,-0.248014739,8.4082,1.6,34.37,3.4,2.786614803,1.115925266,81.17560976
Spain 2009,-0.321983508,9.0539,1.7,34.58,3.3,5.9025801,-3.573794025,81.47560976
Spain 2010,-0.080981459,9.1045,1.4,35.72,3.2,1.98817771,0.013804783,81.62682927
Spain 2011,-0.034896391,9.0173,1.3,35.93,3.2,1.57603846,-0.617622686,82.47560976
Spain 2012,-0.1925906,8.9339,1,36.39,3.2,3.45481971,-2.088745234,82.42682927
Spain 2013,-0.094692479,8.009415385,0.7,36.43,3.1,1.54357092,-1.229951981,82.42682927
Sweden 2001,0.038303013,8.0341,0.6,43.35,3.4,-0.720543202,1.563407818,79.79512195
Sweden 2002,0.086008259,8.3606,0.7,42.22,3.7,0.316626838,2.900755199,80.14634146
Sweden 2003,0.008087726,8.4596,0.7,42.63,3.3,0.31037127,3.346537659,79.97073171
Sweden 2004,-0.008502126,8.2572,0.8,42.96,3.1,0.799343776,4.32052663,80.49756098
Sweden 2005,0.078121059,8.2726,0.8,42.55,3.1,1.443338829,2.818331148,80.54634146
Sweden 2006,0.567304131,8.1565,0.7,41.58,2.4,-0.732957892,4.688128579,80.74878049
Sweden 2007,0.039030822,8.068,0.8,39.09,2.8,-0.823444598,3.404948607,80.9
Sweden 2008,-0.002609653,8.307,0.8,38.76,2.5,0.108646587,-0.557047987,81.1
Sweden 2009,0.005340983,8.9371,0.9,37.3,2.5,2.069454576,-5.184660922,81.35121951
Sweden 2010,-0.056433031,8.4804,0.8,36.78,2.5,0.122805865,5.988927133,81.45121951
Sweden 2011,-0.04028544,10.5546,0.8,36.94,2.5,-0.649034213,2.664408163,81.80243902
Sweden 2012,0.088923166,10.8122,0.8,37.11,2.1,0.287854296,-0.286319956,81.70487805
Sweden 2013,0.133849268,10.9842,0.7,37.37,2.6,-0.036895154,1.282360789,81.70487805
Switzerland 2001,0.159008782,9.6919,1.4,14.7,4.9,-0.095941631,1.446599189,80.1804878
Switzerland 2002,0.005160183,10.0969,1.5,14.8,5,0.122163041,2.44261706,80.63414634
Switzerland 2003,-0.076828694,10.3932,1.5,14.26,4.5,1.067059367,2.774623017,80.40731707
Switzerland 2004,0.023615349,10.4232,1.5,14.06,4.3,0.142102109,2.84295634,81.08780488
Switzerland 2005,-0.019871196,10.2555,1.5,14.12,4.2,0.167332091,3.03829565,81.23658537
Switzerland 2006,0.087963797,9.8069,1.5,13.7,4.2,-0.344216009,4.012782006,81.4902439
Switzerland 2007,0.360696299,9.6348,1.4,14.09,4.4,-0.275674911,4.140354374,81.74146341
Switzerland 2008,0.125897555,9.7804,1.5,12.43,3.9,-0.159847123,2.277231127,81.99268293
Switzerland 2009,-0.157861271,10.388,1.5,13.09,4,0.491308968,-2.129604826,82.04390244
Switzerland 2010,0.013039473,10.459,1.5,13.27,4.3,0.33955005,2.953806584,82.24634146
Switzerland 2011,0.061861356,10.6097,1.4,13.28,3.8,-0.38624441,1.804553114,82.69512195
Switzerland 2012,0.009208892,10.9817,1.4,13.11,3.8,0.134049253,1.109171726,82.69756098
Switzerland 2013,0.074761424,11.1086,1.4,12.78,3.6,0.155906936,1.915615441,82.74878049
Turkey 2001,0,5.0311,0.7,42.95,31.6,1.309791034,-5.697476493,70.55185366
Turkey 2002,0,5.2303,0.4,41.81,28.3,1.582398727,4.022316331,71.2814878
Turkey 2003,0,5.206,0.3,41.39,31.5,0.240886839,7.262247272,70.91667073
Turkey 2004,0,5.1189,0.3,42.21,29,0.286092737,9.362807614,72.01112195
Turkey 2005,0,5.1303,0.3,42.36,26,-0.068717541,8.401617872,72.42836585
Turkey 2006,0,5.3994,0.6,42.27,21.4,-0.186962772,6.893489337,72.81573171
Turkey 2007,0,5.5143,0.5,42.31,16.5,0.13721687,4.668579412,73.18192683
Turkey 2008,0,5.5042,0.6,37.67,13.9,0.584528598,0.658838445,73.53419512
Turkey 2009,0,5.8048,0.8,34.99,12.1,2.362211459,-4.825875213,73.87609756
Turkey 2010,0,5.3352,1.3,34.81,10.2,-1.391890924,9.156952903,74.21119512
Turkey 2011,0,5.0374,1.2,34.84,7.8,-1.53547982,8.772747615,74.5404878
Turkey 2012,0,4.961,1,34.85,7.7,-0.390204115,2.127460619,74.86243902
Turkey 2013,0,5.0853,1.2,35.07,7.4,0.525001393,4.192509259,75.17595122
United Kingdom 2001,0.006969404,6.648,0.7,23.56,5.6,-0.626740906,2.664535041,77.99268293
United Kingdom 2002,0.101171069,6.906,0.7,23.78,5.5,0.258800145,2.641657136,78.3695122
United Kingdom 2003,0.133791599,7.114,0.7,25.5,5.2,-0.097401931,2.634031167,78.18109756
United Kingdom 2004,0.326558849,7.296,0.6,25.82,5.2,-0.211748711,2.453888755,78.74634146
United Kingdom 2005,-0.067256552,7.4411,0.6,25.91,5.1,0.024157636,2.806547611,79.04878049
United Kingdom 2006,0.115007985,7.565,0.7,26.04,5.1,0.660852733,3.042098201,79.24878049
United Kingdom 2007,0.007301274,7.633,0.6,26.39,5,0.021878304,2.555635137,79.44878049
United Kingdom 2008,0.002197802,7.91,0.7,25.17,4.8,-0.041765479,-0.332043634,79.6
United Kingdom 2009,-0.057017544,8.758,0.8,24.39,4.7,2.144254459,-4.310615794,80.05121951
United Kingdom 2010,0.06744186,8.552,0.7,24.73,4.6,0.125435819,1.911377665,80.40243902
United Kingdom 2011,-0.013071895,8.469,0.6,24.84,4.2,0.132750393,1.645120728,80.95121951
United Kingdom 2012,-0.154525386,8.494,0.6,24.36,4.3,0.021224419,0.659035023,80.90487805
United Kingdom 2013,0.056650246,8.456,0.6,23.25,4.1,0.060795429,1.664698826,80.95609756
United States 2001,0.259095698,13.1999,0.7,23.74,6.9,0.632828677,0.975981897,76.73658537
United States 2002,0.000428746,13.9914,0.6,23.67,6.8,1.019932206,2.702313714,77.03780488
United States 2003,-0.335877646,14.4921,0.6,21.53,7,0.226093813,3.277757653,76.88719512
United States 2004,0.36151502,14.5678,0.6,21.57,6.8,-0.379038403,3.785743356,77.33902439
United States 2005,0.171722434,14.5792,0.6,21.57,6.8,-0.382625665,3.345215888,77.33902439
United States 2006,0.128202478,14.6913,0.6,21.86,6.9,-0.487079725,2.666625986,77.58780488
United States 2007,-0.168881845,14.9115,0.6,22.39,6.7,0.081761327,1.778570372,77.83902439
United States 2008,0.051986146,15.3471,0.6,21.39,6.8,1.175155293,-0.291621579,77.93902439
United States 2009,0.021399552,16.3643,0.7,22.88,6.6,3.321992097,-2.775529444,78.0902439
United States 2010,-0.077990446,16.402,0.6,23.23,6.4,0.398165585,2.53192038,78.54146341
United States 2011,0.018621268,16.4195,0.6,22.91,6.1,-0.564723738,1.601454273,78.64146341
United States 2012,-0.028632632,16.4177,0.6,23.21,6.1,-0.788810735,2.321084741,78.74146341
United States 2013,-0.041469765,16.4273,0.6,24.93,6.1,-0.856228484,2.219307991,78.84146341
